index Betriebname Milchmenge Fett.B Laktationstag BetriebDatum
63 Dargun 0.0832004027180483 -1.29187590418149 101 Dargun2009-05-04
64 Dargun 1.50719712886708 -1.7199142454075 92 Dargun2009-05-04
65 Dargun 0.67196827987582 -0.401556154431393 61 Dargun2009-05-04
66 Luessow 0.124277231356963 -1.00080983214781 54 Luessow2009-05-05
67 Luessow -0.0947991880505802 1.05377420573704 58 Luessow2009-05-05
68 Dargun 1.35658209052439 -2.49038325961432 96 Dargun2009-05-04
69 Dargun 1.20596705218171 -1.8055219136527 83 Dargun2009-05-04
70 Dargun -0.163260569115437 0.488763595318706 44 Dargun2009-05-04
71 Dargun 0.411815031829363 0.933923470193756 92 Dargun2009-05-04
72 Dargun 0.220123164847763 0.180575989635979 48 Dargun2009-05-04
73 Luessow 0.274892269699648 -0.418677688080434 30 Luessow2009-05-05
74 Luessow 0.877352423070391 0.728465066405271 31 Luessow2009-05-05
75 Dargun 0.754121937153648 0.0607252540926968 95 Dargun2009-05-04
76 Dargun 1.28812070945953 -1.37748357242669 102 Dargun2009-05-04
77 Dargun 0.891044699283362 2.47486149860739 45 Dargun2009-05-04
78 Dargun 4.51949789572079 -1.06929596674397 107 Dargun2009-05-04
79 Dargun -0.615105684143494 0.557249729914868 90 Dargun2009-05-04
80 Dargun 0.822583318218505 -1.17202516863821 31 Dargun2009-05-04
81 Luessow 0.644583727449877 -0.658379159166999 60 Luessow2009-05-05
82 Luessow 1.73996582448759 -0.641257625517959 34 Luessow2009-05-05
83 Barth -1.46402680934772 0.454520528020625 39 Barth2009-07-06
84 Dargun -0.0263378069857231 -1.49733430796998 78 Dargun2009-05-04
85 Dargun 0.685660556088791 0.728465066405271 43 Dargun2009-05-04
86 Dargun 0.466584136681248 0.762708133703352 79 Dargun2009-05-04
87 Dargun 1.08273656626496 -0.161854683344828 86 Dargun2009-05-04
88 Dargun 0.658276003662848 0.180575989635979 49 Dargun2009-05-04
89 Luessow -0.135876016689494 1.00240960478992 55 Luessow2009-05-05
90 Luessow 0.685660556088791 -0.470042289027555 24 Luessow2009-05-05
91 Kastanienhof -1.46402680934772 -0.70974376011412 77 Kastanienh2009-05-18
92 Luebesse -0.163260569115437 1.89272935454002 117 Luebesse2009-05-07
93 Melkof 0.357045926977477 -0.898080630253564 40 Melkof2009-05-25
94 Luebesse -0.341260159884066 -0.384434620782353 53 Luebesse2009-05-07
